Departamentos;Provincia;Distrito;IncidenciaPobreza;DesnutricionCronica;TasaAnalfabetismo;NivelRiesgo;Población;Viviendas;Establecimsalud;Institueducativas;Alumnos;Docentes
APURIMAC;ANTABAMBA;ANTABAMBA;71.2;33.80;21.66;A;3166;1585;4;25;1013;72
APURIMAC;ANTABAMBA;JUAN ESPINOZA MEDRANO;59.3;35.40;21.95;A;2049;1242;5;13;544;45
APURIMAC;ANTABAMBA;OROPESA;66.6;32.10;22.36;A;3113;970;6;17;813;66
AREQUIPA;AREQUIPA;CAYMA;7.4;7.70;2.87;M;93802;20267;56;134;10921;841
AREQUIPA;AREQUIPA;SAN JUAN DE TARUCANI;76.9;26.30;10.93;A;2169;947;2;7;112;14
AREQUIPA;AREQUIPA;YURA;18.4;9.00;5.17;M;26774;6179;6;40;2983;189
AREQUIPA;CASTILLA;ANDAGUA;40.0;25.70;12.82;A;1127;517;3;7;154;15
AREQUIPA;CASTILLA;CHACHAS;74.4;36.20;21.24;A;1686;852;2;11;273;24
AREQUIPA;CASTILLA;CHILCAYMARCA;33.6;13.40;16.02;M;1301;332;2;4;234;14
AREQUIPA;CASTILLA;CHOCO;70.9;34.40;29.57;A;991;769;2;11;51;9
AREQUIPA;CASTILLA;MACHAGUAY;35.3;12.50;11.75;M;699;573;1;6;70;9
AREQUIPA;CASTILLA;ORCOPAMPA;19.1;14.70;8.44;M;9797;2774;3;26;2247;135
AREQUIPA;CAYLLOMA;CHIVAY;21.5;15.00;7.43;M;7833;24;4;19;1967;152
AREQUIPA;CAYLLOMA;ACHOMA;28.0;10.90;11.51;M;882;22;1;5;199;30
AREQUIPA;CAYLLOMA;CABANACONDE;27.2;15.60;13.76;M;2353;1424;2;7;428;51
AREQUIPA;CAYLLOMA;CALLALLI;44.2;25.50;13.32;A;1946;1318;2;10;346;35
AREQUIPA;CAYLLOMA;CAYLLOMA;49.9;31.60;17.19;A;3076;1349;3;17;836;69
AREQUIPA;CAYLLOMA;COPORAQUE;32.0;12.60;14.58;M;1522;9;1;7;210;21
AREQUIPA;CAYLLOMA;ICHUPAMPA;28.2;16.70;17.53;M;652;29;1;2;75;8
AREQUIPA;CAYLLOMA;LARI;30.9;24.30;18.13;M;1528;509;1;2;143;12
AREQUIPA;CAYLLOMA;MACA;22.9;7.60;12.75;M;703;19;1;2;63;8
AREQUIPA;CAYLLOMA;MADRIGAL;38.5;16.50;23.02;A;478;453;1;3;103;15
AREQUIPA;CAYLLOMA;SAN ANTONIO DE CHUCA;65.2;28.20;12.53;A;1561;618;3;7;154;13
AREQUIPA;CAYLLOMA;SIBAYO;41.3;29.50;12.80;A;661;474;1;5;161;17
AREQUIPA;CAYLLOMA;TAPAY;54.7;11.10;24.55;A;531;470;2;8;62;9
AREQUIPA;CAYLLOMA;TISCO;52.6;38.70;12.44;A;1409;891;3;14;269;35
AREQUIPA;CAYLLOMA;TUTI;22.9;20.40;22.51;M;744;365;1;3;160;20
AREQUIPA;CAYLLOMA;YANQUE;35.7;21.20;13.75;M;2112;111;1;9;468;46
AREQUIPA;CONDESUYOS;CAYARANI;73.6;30.10;23.85;A;3085;994;3;12;530;34
AREQUIPA;CONDESUYOS;SALAMANCA;39.9;38.10;25.64;A;855;500;2;8;110;21
AREQUIPA;LA UNION;COTAHUASI;32.3;16.90;8.72;M;2911;1348;2;12;926;83
AREQUIPA;LA UNION;ALCA;44.9;36.40;24.32;A;1993;951;1;9;364;34
AREQUIPA;LA UNION;CHARCANA;61.2;28.60;6.69;A;543;338;2;3;105;7
AREQUIPA;LA UNION;HUAYNACOTAS;59.6;42.90;20.23;A;2217;920;3;12;346;29
AREQUIPA;LA UNION;PAMPAMARCA;64.2;42.70;31.08;A;1241;785;4;14;252;22
AREQUIPA;LA UNION;PUYCA;64.3;50.90;33.52;A;2786;1366;2;14;550;37
AREQUIPA;LA UNION;TOMEPAMPA;33.6;8.50;18.06;M;816;409;1;5;120;10
AYACUCHO;PARINACOCHAS;CORONEL ;79.9;21.20;24.19;A;1889;308;3;18;238;40
AYACUCHO;PAUCAR DEL SARA SARA;OYOLO;71.8;46.70;19.42;A;1204;514;2;11;385;39
CUSCO;CHUMBIVILCAS;SANTO TOMAS;37.7;28.60;21.67;A;26707;9102;10;59;6222;370
CUSCO;CHUMBIVILCAS;VELILLE;38.1;28.00;18.68;A;8514;3274;3;31;1711;123
CUSCO;ESPINAR;ESPINAR;22.9;22.90;6.90;M;33520;9562;15;88;10425;545
CUSCO;ESPINAR;CONDOROMA;46.5;33.00;12.21;A;1412;593;1;5;214;15
CUSCO;ESPINAR;COPORAQUE;25.1;35.10;17.45;A;17877;4632;3;50;1730;156
CUSCO;ESPINAR;OCORURO;39.9;31.30;13.11;A;1593;671;1;7;210;18
CUSCO;ESPINAR;PALLPATA;45.5;28.00;13.42;A;5552;2108;1;19;1167;82
CUSCO;ESPINAR;SUYCKUTAMBO;39.7;47.40;19.56;A;2767;916;1;12;331;30
MOQUEGUA;MARISCAL NIETO;CARUMAS;33.8;18.90;17.90;M;5675;1892;5;17;291;52
MOQUEGUA;MARISCAL NIETO;CUCHUMBAYA;15.2;3.90;20.87;M;2191;873;3;9;77;22
MOQUEGUA;MARISCAL NIETO;SAN CRISTOBAL;38.8;17.60;33.92;A;4103;1199;4;16;323;66
MOQUEGUA;MARISCAL NIETO;TORATA;13.3;14.80;8.38;M;5800;3242;5;17;634;80
MOQUEGUA;GENERAL SANCHEZ CERRO;OMATE;4.8;5.30;1.64;M;4546;1595;3;20;744;102
MOQUEGUA;GENERAL SANCHEZ CERRO;CHOJATA;32.3;22.50;16.99;M;2615;740;2;9;127;30
MOQUEGUA;GENERAL SANCHEZ CERRO;COALAQUE;17.6;7.30;8.06;M;1109;613;2;12;159;34
MOQUEGUA;GENERAL SANCHEZ CERRO;ICHU;38.6;13.60;12.38;M;4911;1926;4;28;481;92
MOQUEGUA;GENERAL SANCHEZ CERRO;LLOQUE;21.6;9.50;11.83;M;2020;387;1;5;95;14
MOQUEGUA;GENERAL SANCHEZ CERRO;MATALAQUE;20.8;3.10;10.26;M;1206;539;2;7;44;13
MOQUEGUA;GENERAL SANCHEZ CERRO;PUQUINA;20.2;15.60;7.73;M;2483;1271;5;23;524;87
MOQUEGUA;GENERAL SANCHEZ CERRO;QUINISTAQUILLAS;5.8;7.10;7.32;M;1441;336;1;5;60;18
MOQUEGUA;GENERAL SANCHEZ CERRO;UBINAS;32.9;21.20;12.77;M;3664;1470;7;28;336;78
MOQUEGUA;GENERAL SANCHEZ CERRO;YUNGA;35.4;9.10;8.67;M;2433;409;1;7;193;21
PUNO;PUNO;ACORA;42.7;14.20;13.54;M;28139;16061;21;113;4412;483
PUNO;PUNO;MARISCAL;56.4;19.00;14.51;A;5359;2572;5;23;1540;116
PUNO;PUNO;PICHACANI;62.9;17.90;18.67;A;5285;3076;9;27;1189;122
PUNO;PUNO;SAN ANTONIO;57.5;35.30;20.88;A;3892;1068;1;11;212;34
PUNO;PUNO;TIQUILLACA;66.4;26.10;31.90;A;1749;1253;2;10;272;30
PUNO;EL COLLAO;CAPAZO;57.4;18.20;4.01;A;2265;776;6;14;145;30
PUNO;EL COLLAO;SANTA ROSA;63.5;16.00;16.41;A;7822;2934;7;22;725;66
PUNO;LAMPA;OCUVIRI;50.1;30.70;9.91;A;3136;1233;3;13;415;27
PUNO;LAMPA;PARATIA;57.7;30.00;3.02;A;9181;1269;2;20;354;58
PUNO;LAMPA;SANTA LUCIA;51.4;15.20;10.60;A;7514;2748;3;29;2063;155
PUNO;SAN ROMAN;CABANILLAS;32.1;20.00;10.43;M;5390;2148;4;25;1611;140
TACNA;TACNA;PALCA;40.5;17.90;8.16;M;1688;937;7;16;137;25
TACNA;CANDARAVE;CANDARAVE;43.2;10.30;12.45;M;2986;1591;4;27;389;57
TACNA;CANDARAVE;CAIRANI;39.9;10.90;13.59;M;1292;585;2;10;161;25
TACNA;CANDARAVE;CAMILACA;36.0;8.50;16.42;M;1483;1120;1;7;72;18
TACNA;CANDARAVE;HUANUARA;50.5;2.70;7.09;M;899;318;1;3;97;17
TACNA;TARATA;TARATA;52.0;14.70;9.75;A;3221;1690;6;19;491;59
TACNA;TARATA;ESTIQUE;43.1;0.00;7.40;M;723;231;1;4;12;5
TACNA;TARATA;SITAJARA;49.4;20.00;15.18;A;709;288;1;4;38;8
TACNA;TARATA;SUSAPAYA;58.1;15.00;11.48;A;753;525;2;6;85;20
TACNA;TARATA;TARUCACHI;29.5;18.80;7.27;M;409;249;1;2;21;4
TACNA;TARATA;TICACO;45.8;23.40;7.97;M;565;412;1;4;82;9
